Name,Course title,Question,Answer,Get Real,Fill Buckets,Be Intentional,Foster Grit,Drive Growth,Alignment,Accountability,Communication,Leadership,Execution,FUSION Relationship Summary,COR Relationship Summary
scott-gusso,1 - Course - Topic : Get Real,What actions did you take or what skills did you develop to align with that purpose?,Demo 3/26,1.00,0.00,1.00,0.00,0.50,1.00,0.25,0.50,0.50,1.00,"Primary: Get Real, Be Intentional; Secondary: Drive Growth","Primary: Alignment, Execution; Secondary: Communication, Leadership; Tertiary: Accountability"
scott-gusso,1 - Course - Topic : Get Real,What adjustments do you need to make to your purpose to facilitate alignment within your role and/or career?,Demo 3/26,1.00,0.50,1.00,0.00,0.25,1.00,0.25,0.50,0.50,0.50,"Primary: Get Real, Be Intentional; Secondary: Fill Buckets; Tertiary: Drive Growth","Primary: Alignment; Secondary: Communication, Leadership, Execution; Tertiary: Accountability"
scott-gusso,1 - Course - Topic : Get Real,Are there adjustments you can make with your responsibilities to optimize alignment with your purpose and maximize your impact/value within the organization?,Demo 3/26,1.00,0.00,1.00,0.00,0.25,1.00,1.00,0.50,0.50,0.50,"Primary: Get Real, Be Intentional; Tertiary: Drive Growth","Primary: Alignment, Accountability; Secondary: Communication, Leadership, Execution"
scott-gusso,1 - Course - Topic : Get Real,Rate your current ability to â€œGet Realâ€ 1-5 (5 highest) with yourself and others.,4,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Get Real,"Learn from others by reading or listening to a biography, story, or a person who has overcome challenges and found their purpose. Learning from others' journeys can inspire and guide your own path. (Optional)",Demo 3/26,1.00,0.00,1.00,0.50,0.50,1.00,0.25,1.00,0.50,0.50,"Primary: Get Real, Be Intentional; Secondary: Foster Grit, Drive Growth","Primary: Alignment, Communication; Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,1 - Transform Course - Topic : Get Real,What actions did you take or what skills did you develop to align with that purpose?,transform get real,1.00,0.00,1.00,0.00,0.50,1.00,0.25,0.50,0.50,1.00,"Primary: Get Real, Be Intentional; Secondary: Drive Growth","Primary: Alignment, Execution; Secondary: Communication, Leadership; Tertiary: Accountability"
scott-gusso,1 - Transform Course - Topic : Get Real,What adjustments do you need to make to your purpose to facilitate alignment within your role and/or career?,transform get real,1.00,0.50,1.00,0.00,0.25,1.00,0.25,0.50,0.50,0.50,"Primary: Get Real, Be Intentional; Secondary: Fill Buckets; Tertiary: Drive Growth","Primary: Alignment; Secondary: Communication, Leadership, Execution; Tertiary: Accountability"
scott-gusso,1 - Transform Course - Topic : Get Real,Are there adjustments you can make with your responsibilities to optimize alignment with your purpose and maximize your impact/value within the organization?,transform get real,1.00,0.00,1.00,0.00,0.25,1.00,1.00,0.50,0.50,0.50,"Primary: Get Real, Be Intentional; Tertiary: Drive Growth","Primary: Alignment, Accountability; Secondary: Communication, Leadership, Execution"
scott-gusso,1 - Transform Course - Topic : Get Real,Rate your current ability to â€œGet Realâ€ 1-5 (5 highest) with yourself and others.,5,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Transform Course - Topic : Get Real,"Learn from others by reading or listening to a biography, story, or a person who has overcome challenges and found their purpose. Learning from others' journeys can inspire and guide your own path. (Optional)",transform get real,1.00,0.00,1.00,0.50,0.50,1.00,0.25,1.00,0.50,0.50,"Primary: Get Real, Be Intentional; Secondary: Foster Grit, Drive Growth","Primary: Alignment, Communication; Secondary: Leadership, Execution; Tertiary: Accountability"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,"Reflect on an example of when you were self-aware of your feelings and emotions as they were emerging, in real time?",-,1.00,0.00,0.50,0.00,0.25,0.25,0.25,0.50,0.50,0.25,Primary: Get Real; Secondary: Be Intentional; Tertiary: Drive Growth,"Secondary: Communication, Leadership; Tertiary: Alignment, Accountability, Execution"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,How did you manage your emotions?  Were your responses calm and measured?,-,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,"In that same example, did you seek to understand the emotions of others?",-,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,"What can you do differently, better, or continue doing in the future to help you continue developing your EI?",-,1.00,0.00,0.25,0.00,0.50,0.25,0.00,0.50,0.50,0.25,Primary: Get Real; Secondary: Drive Growth; Tertiary: Be Intentional,"Secondary: Communication, Leadership; Tertiary: Alignment, Execution"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,Rate your current ability to demonstrate emotional intelligence. 1-5 (5 highest).,-,1.00,0.00,0.25,0.00,0.25,0.25,0.00,0.50,0.50,0.00,"Primary: Get Real; Tertiary: Be Intentional, Drive Growth","Secondary: Communication, Leadership; Tertiary: Alignment"
scott-gusso,1 - Course - Topic : Emotional Intelligence Transform,Review the Solutions-Focused Feedback Approach tool and consider how this strategy can be applied to boost your emotional intelligence.,-,1.00,0.00,0.50,0.00,0.25,0.25,0.25,1.00,0.50,0.50,Primary: Get Real; Secondary: Be Intentional; Tertiary: Drive Growth,"Primary: Communication; Secondary: Leadership, Execution; Tertiary: Alignment, Accountability"
scott-gusso,1 - Tools : Sustain - Fill Buckets,What Fills My Bucket?,Testing 4/21,0.25,1.00,0.00,0.25,0.00,0.25,0.50,0.50,0.00,0.50,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Secondary: Accountability, Communication, Execution; Tertiary: Alignment"
